epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14579.2,0.98471,2.04654,1.47569,0.48007,0.56593,0.50958,0.37364,0.84516,1.49985,1.46583,0.007921,0.007921,0.007921
44,14918.1,0.99057,2.03824,1.47746,0.49288,0.55119,0.50825,0.37405,0.85234,1.48792,1.47379,0.0078715,0.0078715,0.0078715
45,15255,0.9843,2.01986,1.47648,0.49155,0.53053,0.50168,0.37331,0.84576,1.49033,1.46231,0.007822,0.007822,0.007822
46,15595.6,0.98256,2.02403,1.47207,0.49489,0.51933,0.51185,0.38121,0.85286,1.4703,1.46863,0.0077725,0.0077725,0.0077725
47,15936.9,0.97582,2.01338,1.46969,0.52504,0.54639,0.52473,0.38886,0.84017,1.45338,1.45498,0.007723,0.007723,0.007723
48,16277.5,0.98373,2.02087,1.47239,0.54892,0.5105,0.52534,0.39167,0.84801,1.45308,1.46424,0.0076735,0.0076735,0.0076735
49,16616.1,0.98009,1.99538,1.4719,0.54945,0.52142,0.53541,0.39815,0.83729,1.43117,1.45632,0.007624,0.007624,0.007624
50,16953.3,0.97649,1.99515,1.46658,0.5523,0.53806,0.53908,0.40324,0.83314,1.43317,1.45288,0.0075745,0.0075745,0.0075745
51,17290.1,0.98038,2.00929,1.47159,0.56169,0.53612,0.54452,0.40756,0.82587,1.42599,1.44614,0.007525,0.007525,0.007525
52,17625,0.95856,1.97818,1.45854,0.54253,0.53259,0.54654,0.41114,0.82263,1.42567,1.44403,0.0074755,0.0074755,0.0074755
53,17961.9,0.96978,1.9749,1.46236,0.54736,0.54609,0.55261,0.41761,0.8218,1.40774,1.44437,0.007426,0.007426,0.007426
54,18298.5,0.97828,1.96801,1.46957,0.54286,0.54293,0.55419,0.42035,0.81938,1.40505,1.44392,0.0073765,0.0073765,0.0073765
55,18635.6,0.96182,1.95519,1.45595,0.54871,0.52324,0.55029,0.4165,0.81649,1.40824,1.43917,0.007327,0.007327,0.007327
56,18978.4,0.95996,1.9485,1.4561,0.56519,0.51364,0.55135,0.4177,0.81429,1.40283,1.43645,0.0072775,0.0072775,0.0072775
57,19314.5,0.95937,1.95557,1.45928,0.57103,0.52527,0.55267,0.41698,0.81596,1.40563,1.43755,0.007228,0.007228,0.007228
